house,year,season,homebase,parent,director,director_years,director_previous_houses,newyork,paris,london,milan,met,employees_num,google_search_sentiment,fashion_magazine_sentiment
Saint Laurent,2018,ss,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9752,0.19125,0.5333333333
Gucci,2024,fw,Milan,Kering,Sabato De Sarno,14,4,0,1,0,0,1,9336,0.089318,0
Gucci,2024,ss,Milan,Kering,Sabato De Sarno,14,4,0,1,0,0,1,9336,0.089318,0.2638888889
Gucci,2023,fw,Milan,Kering,Sabato De Sarno,14,4,0,1,0,0,1,9201,0.089318,175
Gucci,2023,ss,Milan,Kering,Alessandro Michele,17,4,0,1,0,0,1,9201,0.089318,0
Gucci,2022,fw,Milan,Kering,Alessandro Michele,17,4,0,1,0,0,1,9293,0.089318,0.0625
Gucci,2022,ss,Milan,Kering,Alessandro Michele,17,1,0,1,0,0,1,9293,0.089318,0.25
Gucci,2021,fw,Milan,Kering,Alessandro Michele,17,1,0,1,0,0,1,9234,0.089318,0.3143939394
Gucci,2021,ss,Milan,Kering,Alessandro Michele,17,1,0,1,0,0,1,9234,0.089318,0.25
Gucci,2020,fw,Milan,Kering,Alessandro Michele,17,1,0,1,0,0,1,9892,0.089318,0.2393939394
Gucci,2020,ss,Milan,Kering,Alessandro Michele,17,1,0,1,0,0,1,9892,0.089318,0.25
Gucci,2019,fw,Milan,Kering,Alessandro Michele,17,1,0,1,0,0,1,9862,0.089318,0.3
Gucci,2019,ss,Milan,Kering,Alessandro Michele,17,1,0,1,0,0,1,9862,0.089318,-0.04166666667
Gucci,2018,fw,Milan,Kering,Alessandro Michele,17,1,0,1,0,0,1,9752,0.089318,0.25
Gucci,2018,ss,Milan,Kering,Alessandro Michele,17,1,0,1,0,0,1,9752,0.19125,0.25
Bottega Veneta,2024,fw,Milan,Kering,Matthieu Blazy,14,3,0,0,0,1,1,9336,0.089318,0.25
Bottega Veneta,2024,ss,Milan,Kering,Matthieu Blazy,14,3,0,0,0,1,1,9336,0.089318,0
